type,seed,year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
fixed_all,3,2012,7,188,10,299.99458063600446,2.9,15.18,9157.973628555948,0.3723060402667468,10943.579225965912,2,23
fixed_all,3,2012,7,188,11,319.74600544667226,4.5,15.19,9155.678087544551,0.37221919182388263,10897.777734469864,2,23
fixed_all,3,2012,7,188,12,305.87861085000134,4.7,15.205,9152.236490642064,0.37208900709062104,10966.764649337676,2,23
fixed_all,3,2012,7,188,13,389.3579485375351,4.2,15.24,9144.214090857651,0.3717856525420915,11041.31388660363,2,23
fixed_all,3,2012,7,188,14,420.3683344386042,3.5,15.285,9133.91599176357,0.37139646666522674,11053.952642361923,2,23
fixed_all,3,2012,7,188,15,301.59168550772125,2.8,15.29,9132.772896731172,0.371353282116514,11101.633924784699,2,23
fixed_all,3,2012,7,188,16,184.02737153838578,1.2,15.295,9131.630029115253,0.37131010921965374,10939.111640626877,2,23
fixed_all,3,2012,7,188,17,179.05476490609286,1.7,15.305,9129.344975892613,0.37122379836683683,11018.394408834622,2,23
fixed_all,3,2012,7,188,18,209.9642324720644,1.9,15.315000000000001,9127.060831609562,0.3711375340774791,11016.794596158992,2,23
fixed_all,3,2012,7,188,19,214.4688287104268,3.3,15.31,9128.20279016422,0.3711806604035559,11183.121849295056,2,23
fixed_all,3,2012,7,188,20,90.53594678806287,2.4,15.28,9135.059314274396,0.37143966286945695,11186.291415477417,2,23
fixed_all,3,2012,7,188,21,105.81859347017347,1.3,15.26,9139.634880310694,0.3716125643148903,11048.54032813605,2,23
fixed_all,3,2012,7,188,22,80.28382390061083,1.2,15.245000000000001,9143.068946335223,0.3717423629616485,10974.359381570299,2,23
fixed_all,3,2012,7,188,23,55.848752721669804,0.9,15.225000000000001,9147.650892821815,0.37191559142944364,10877.312361796749,2,23
fixed_all,3,2012,7,188,24,31.643569971935804,0.2,15.21,9151.08974866107,0.37204563561306736,10882.609261801867,2,23
fixed_all,3,2012,7,189,1,8.140841035686586,1.9,15.184999999999999,9156.82574370142,0.37226261018078777,10866.296014348549,2,24
fixed_all,3,2012,7,189,2,0.4799328732369128,3.4,15.175,9159.121742168192,0.3723494820854486,10829.88528744389,2,24
fixed_all,3,2012,7,189,3,0.5937235230051512,1.9,15.16,9162.56745616444,0.37247987797491455,10733.938031295738,2,24
fixed_all,3,2012,7,189,4,4.90244043136214,3.3,15.11,9174.068063963421,0.372915295088592,10690.232359134316,2,24
fixed_all,3,2012,7,189,5,18.484743478237103,3.7,15.07,9183.285079625683,0.3732644770865278,10591.34707684573,2,24
fixed_all,3,2012,7,189,6,28.937023410594264,3.3,15.04,9190.207504196393,0.3735268596767985,10545.539379945858,2,24
fixed_all,3,2012,7,189,7,79.5304456595214,2.6,15.024999999999999,9193.671827103757,0.37365821071430705,10713.566049593606,2,24
fixed_all,3,2012,7,189,8,192.58862962624633,4.5,15.02,9194.827062650516,0.373702018083822,10743.559523177695,2,24
fixed_all,3,2012,7,189,9,346.3115998471546,4.9,15.045,9189.053190932686,0.3734830996755653,10757.145489584223,2,24
fixed_all,3,2012,7,189,10,399.0090285125544,3.6,15.094999999999999,9177.522721025021,0.3730461498520794,10830.77717800911,2,24
fixed_all,3,2012,7,189,11,662.7552566305603,2.5,15.195,9154.530660022772,0.37217578519234396,10891.806927520947,2,24
fixed_all,3,2012,7,189,12,686.1858827154081,1,15.27,9137.346641972337,0.371526090259135,11061.139873961594,2,24
fixed_all,3,2012,7,189,13,791.5842350492532,2.2,15.375,9113.375026493279,0.3706209245356475,11164.866545016788,2,24
fixed_all,3,2012,7,189,14,772.2557543568915,2.5,15.41,9105.40670163703,0.37032034009078435,11200.275873330464,2,24
fixed_all,3,2012,7,189,15,495.5102097450291,1.4,15.455,9095.177979118442,0.36993470682670715,11160.38275536046,2,24
fixed_all,3,2012,7,189,16,604.8304265340412,1.1,15.524999999999999,9079.302909998207,0.36933668846833634,11276.664728354695,2,24
fixed_all,3,2012,7,189,17,606.2208904684612,2.6,15.575,9067.990534516963,0.368910910783206,11298.206561316598,2,24
fixed_all,3,2012,7,189,18,347.83565363039907,3.4,15.6,9062.342749975956,0.36869845134686513,11365.6136256684,2,24
fixed_all,3,2012,7,189,19,340.6409702015476,5.2,15.8,9017.361169102376,0.36700902239709177,11417.91990571622,2,24
fixed_all,3,2012,7,189,20,299.5761514140433,4.3,15.93,8988.31327113397,0.36592058954888096,11459.997248934318,2,24
fixed_all,3,2012,7,189,21,197.72906697731167,3.5,15.905000000000001,8993.887834317618,0.36612931405948956,11522.253300831155,2,24
fixed_all,3,2012,7,189,22,221.95080630198225,2.4,15.905000000000001,8993.887834317618,0.36612931405948956,11528.024029100621,2,24
fixed_all,3,2012,7,189,23,67.85937159969545,0.7,15.885000000000002,8998.351446108498,0.3662964954216799,11493.136410016254,2,24
fixed_all,3,2012,7,189,24,30.962797227481207,1.6,15.86,9003.935918541572,0.3665057246869064,11613.631428956338,2,24
fixed_all,3,2012,7,190,1,6.997140319564359,4.6,15.835,9009.525906357021,0.3667152349892573,11506.09416794324,2,25
fixed_all,3,2012,7,190,2,0.4780114815932369,3.3,15.805,9016.241182364,0.36696701894381706,11360.344283883778,2,25
fixed_all,3,2012,7,190,3,0.47575555942563125,1.4,15.78,9021.843329843505,0.3671771490855494,11219.740614181332,2,25
fixed_all,3,2012,7,190,4,3.879211257102947,2.8,15.75,9028.57321879354,0.3674296781350781,11285.336689468853,2,25
fixed_all,3,2012,7,190,5,24.23911554728583,2.7,15.71,9037.558833173183,0.3677670175613076,11233.964576078639,2,25
fixed_all,3,2012,7,190,6,40.98719760478884,2.8,15.675,9045.43291976444,0.36806278526952907,11163.155970876147,2,25
fixed_all,3,2012,7,190,7,55.16203961882444,4.4,15.645,9052.190825129577,0.3683167439509326,11141.899950510146,2,25
fixed_all,3,2012,7,190,8,114.47887774379925,4.7,15.63,9055.572789567188,0.36844387706958986,11136.073349955708,2,25
fixed_all,3,2012,7,190,9,232.07857570616864,2.3,15.635000000000002,9054.445244836497,0.36840148796285493,11157.919042129473,2,25
fixed_all,3,2012,7,190,10,334.88530999670286,0.9,15.685,9043.182067645868,0.3679782233983702,11180.085361271214,2,25
fixed_all,3,2012,7,190,11,519.2828108500354,1.9,15.75,9028.57321879354,0.3674296781350781,11265.273029491795,2,25
fixed_all,3,2012,7,190,12,606.9189513428732,4.5,15.815000000000001,9014.001872611407,0.3668830458750343,11428.998472619509,2,25
fixed_all,3,2012,7,190,13,689.2769908588523,5.6,15.92,8990.542436609143,0.36600404575217405,11638.544227998837,2,25
fixed_all,3,2012,7,190,14,524.3901835017597,5.8,16.01,8970.511558876984,0.3652545492232504,11618.567565177225,2,25
fixed_all,3,2012,7,190,15,596.2664740117738,4.8,16.115000000000002,8947.23180332895,0.3643846953535702,11707.045411292482,2,25
fixed_all,3,2012,7,190,16,391.0606299397341,3.3,16.17,8935.075985996504,0.3639310066861405,11740.650891723179,2,25
fixed_all,3,2012,7,190,17,473.90631455580177,2.8,16.225,8922.946427703771,0.3634786519816561,11689.909554453243,2,25
fixed_all,3,2012,7,190,18,385.8243830344037,5.6,16.270000000000003,8913.041721787995,0.36310953257360284,11766.946099035593,2,25
fixed_all,3,2012,7,190,19,283.7430725567081,4.5,16.275,8911.942279023831,0.36306857412897076,11757.575357108033,2,25
fixed_all,3,2012,7,190,20,138.58231094563135,2.9,16.25,8917.441652122641,0.36327347594055726,11819.698189689236,2,25
fixed_all,3,2012,7,190,21,51.56860374266756,1.3,16.21,8926.251889220084,0.36360188941584715,11741.361869745835,2,25
fixed_all,3,2012,7,190,22,41.288825899431544,1.4,16.175,8933.972214944633,0.3638898284780483,11656.537961181142,2,25
fixed_all,3,2012,7,190,23,27.641287444340087,4.3,16.134999999999998,8942.808463050136,0.3642195630222675,11526.22893324976,2,25
fixed_all,3,2012,7,190,24,36.73425441920669,4.9,16.095,8951.658626008822,0.36455000468746146,11489.982431550092,2,25
fixed_all,3,2012,7,191,1,9.51163214703441,4.3,16.03,8966.069894727187,0.36508848514030573,11388.391113426502,2,26
fixed_all,3,2012,7,191,2,2.0162976368988432,4.9,15.96,8981.631047960063,0.36567048943688024,11325.109241803453,2,26
fixed_all,3,2012,7,191,3,1.705851342550804,3.9,15.850000000000001,9006.171251411572,0.3665894950586418,11164.746736471383,2,26
fixed_all,3,2012,7,191,4,3.686359392983985,4.6,15.754999999999999,9027.451016206864,0.3673875616820888,11187.618338799777,2,26
fixed_all,3,2012,7,191,5,13.224493789429431,4.5,15.635,9054.445244836497,0.368401487962855,11134.788254898936,2,26
fixed_all,3,2012,7,191,6,41.15191784809587,4.3,15.54,9075.906841949934,0.3692088347777231,10890.9176647749,2,26
fixed_all,3,2012,7,191,7,66.6210242939562,5,15.46,9094.042582311333,0.36989191639237773,10895.079395310604,2,26
fixed_all,3,2012,7,191,8,129.50482286103056,4.5,15.4,9107.682235152855,0.3704061634849846,10893.62562264419,2,26
fixed_all,3,2012,7,191,9,212.2227739546638,5.3,15.34,9121.354444330134,0.3709220768771234,10842.265328574182,2,26
fixed_all,3,2012,7,191,10,494.9902357616205,4.7,15.34,9121.354444330134,0.3709220768771234,10816.409153546605,2,26
fixed_all,3,2012,7,191,11,377.34037467940806,6.2,15.335,9122.495267922432,0.3709651450720456,10852.131397443183,2,26
fixed_all,3,2012,7,191,12,323.33836592656235,5,15.32,9125.919100168727,0.3710944193849473,10865.293904000058,2,26
fixed_all,3,2012,7,191,13,620.7217823976699,5.6,15.335,9122.495267922432,0.3709651450720456,10949.242414634602,2,26
fixed_all,3,2012,7,191,14,600.8359345727795,7.4,15.33,9123.6363183859,0.3710082248858869,10955.664458396568,2,26
fixed_all,3,2012,7,191,15,346.55640959191476,7.1,15.31,9128.20279016422,0.3711806604035559,11050.177440169755,2,26
fixed_all,3,2012,7,191,16,378.9783555895595,7.8,15.35,9119.07347751668,0.3708359753294235,11094.065051099376,2,26
fixed_all,3,2012,7,191,17,289.37742419784814,6.5,15.39,9109.958673010142,0.3704920331652301,11170.30747555334,2,26
fixed_all,3,2012,7,191,18,193.65572503517936,7,15.344999999999999,9120.213847548086,0.37087902029746683,11224.319083126795,2,26
fixed_all,3,2012,7,191,19,297.1201532297853,6.5,15.265,9138.490647280974,0.3715693214519184,11027.853875098534,2,26
fixed_all,3,2012,7,191,20,107.2395637249853,6.6,15.17,9160.270084599404,0.37239293564058296,11038.004322718987,2,26
fixed_all,3,2012,7,191,21,64.37797370191265,6.2,15.07,9183.285079625683,0.3732644770865278,11017.15098671682,2,26
fixed_all,3,2012,7,191,22,69.51755054116236,4.6,14.95,9211.024614575086,0.3743165673488464,10869.085890522098,2,26
fixed_all,3,2012,7,191,23,69.48731140484561,5.5,14.845,9235.406105902537,0.3752427690571645,10892.53767631507,2,26
fixed_all,3,2012,7,191,24,30.826196186808154,4.4,14.719999999999999,9264.5656563565,0.3763522829721919,10796.360582866064,2,26
fixed_all,3,2012,7,192,1,5.453895863513046,4.3,14.625,9286.824869722099,0.37720055855967566,10714.435475457381,2,27
fixed_all,3,2012,7,192,2,1.0809855580974643,4.2,14.51,9313.884101649135,0.3782332890320731,10595.280665405278,2,27
fixed_all,3,2012,7,192,3,0.5744983791339935,4.6,14.42,9335.148353602102,0.3790460260801832,10549.730682770069,2,27
fixed_all,3,2012,7,192,4,2.180262823733887,4,14.309999999999999,9361.242876510489,0.38004478853112894,10526.850580364013,2,27
fixed_all,3,2012,7,192,5,10.728350175053835,4.5,14.21,9385.065825352927,0.3809579578673405,10424.572454327395,2,27
