datetime,site,year,temp.ben,do.ben,dosat.ben,par.ben,temp.pel,do.pel,dosat.pel,par.pel,k,wdir,wspeed,wspeedbw,gust
2018-06-16T11:00:00Z,st33,2018,9.99308333333333,11.49425,105.328273583333,76.466975,10.09,11.485,105.35,238.959875,0.483792962394787,38,1.2,1.3,3.7
2018-06-16T12:00:00Z,st33,2018,10.0486666666666,11.4801666666667,105.337437,74.874125,10.2,11.37,104.6,235.77325,0.487339679998967,214,2.4,3,4.3
2018-06-16T13:00:00Z,st33,2018,10.1485,11.5771666666666,106.477340666667,94.787525,10.395,11.28,104.25,293.124175,0.473006269055913,269,1.2,2.4,3.8
2018-06-16T14:00:00Z,st33,2018,10.1319166666667,11.6071666666667,106.7116205,42.216075,10.23,11.395,104.95,122.6661,0.459614980367722,313,2.3,2.4,3.8
2018-06-16T15:00:00Z,st33,2018,10.14625,11.6769166666666,107.3894345,57.350925,10.41,11.42,105.55,162.4929,0.448001013212768,334,1.1,1.8,3.3
2018-06-16T16:00:00Z,st33,2018,10.2694166666667,11.8251666666667,109.068170666667,79.6536,10.54,11.39,105.65,248.5179,0.468743983983765,44,1.1,2.6,4.1
2018-06-16T17:00:00Z,st33,2018,10.2176666666667,12.1660833333334,112.075253333334,41.41965,10.65,11.485,106.75,101.956275,0.388162477930948,24,4.4,4.7,6.9
2018-06-16T18:00:00Z,st33,2018,10.2018333333334,12.3746666666667,113.95538525,27.5798,10.725,11.525,107.35,81.24645,0.467576278655369,28,4,4.7,6.2
2018-06-16T19:00:00Z,st33,2018,10.37575,11.9283333333333,110.290954333333,29.471425,10.505,11.68,108.2,82.840225,0.448118447912028,32,3.7,3.7,5.1
2018-06-16T20:00:00Z,st33,2018,10.4630833333334,11.7198333333334,108.588433416667,23.995425,10.41,11.83,109.4,54.960725,0.391304669517923,54,2.7,4.3,5.6
2018-06-16T21:00:00Z,st33,2018,10.4455,11.695833333333301,108.3213895,9.060375,10.39,11.85,109.55,26.88235,0.476171732104054,43,2.9,3.4,4.8
2018-06-16T22:00:00Z,st33,2018,10.3849166666667,11.6863333333333,108.07990025,3.98305,10.365,11.84,109.4,12.84455,0.507579616743112,102,2.3,3.3,4.6
