year,month,yday,hour,par,wspeed,temp,do,do_eq,sch_conv,nhour
2017,8,215,10,187.42134390209358,2.4,12.64,11475.000000000002,9772.066139855251,0.3959691242474559,24
2017,8,215,11,237.36791604296894,1.7,12.71,11585,9754.276256252817,0.39527191711721077,24
2017,8,215,12,310.3624750997841,2.4,12.785,11650,9735.272530992199,0.39452788684661744,24
2017,8,215,13,358.1370231957637,2.5,12.809999999999999,11754.999999999998,9728.95098766582,0.39428055881790924,24
2017,8,215,14,670.3864592971248,1.9,12.879999999999999,11800,9711.2852235297,0.39358984827860805,24
2017,8,215,15,754.6637926111028,3.8,12.969999999999999,11864.999999999998,9688.64667699141,0.39270569191132154,24
2017,8,215,16,875.923708855608,2.2,13.05,11925,9668.593652823956,0.3919234403145723,24
2017,8,215,17,406.00894797333973,2.9,13.125,11995.000000000002,9649.853620195365,0.39119319654011386,24
2017,8,215,18,167.7883238454139,2.6,13.13,12100.000000000002,9648.606332137839,0.3911446205224326,24
2017,8,215,19,191.10571794584683,4.8,13.135000000000002,12155.000000000002,9647.359299617003,0.3910960578438452,24
2017,8,215,20,161.16133097210047,4.2,13.13,12210,9648.606332137839,0.3911446205224326,24
2017,8,215,21,42.06057558198829,3.6,13.11,12245.000000000002,9653.597018280712,0.39133900466913113,24
2017,8,215,22,30.362106696790487,2.7,13.094999999999999,12230,9657.342718700855,0.39148493299911225,24
2017,8,215,23,6.914645308530328,1.9,13.065000000000001,12210,9664.841034085157,0.391777150709776,24
2017,8,215,24,0.14666938015364156,2.6,13.035,12184.999999999998,9672.348581446648,0.3920698505685595,24
2017,8,216,1,0,2.2,12.98,12070,9686.136445995708,0.3926077222025141,24
2017,8,216,2,0,2.4,12.925,12030,9699.955484581675,0.3931472229520639,24
2017,8,216,3,0,3.3,12.879999999999999,11945,9711.2852235297,0.39358984827860805,24
2017,8,216,4,0.34181370274819245,2.3,12.825,11835,9725.16118273681,0.39413232530807657,24
2017,8,216,5,13.282063704166852,1.6,12.785,11830,9735.272530992199,0.39452788684661744,24
2017,8,216,6,33.51662535031005,1,12.765,11810,9740.334452380144,0.3947259945336308,24
2017,8,216,7,61.06302976859009,1.3,12.74,11835,9746.667720007916,0.3949739361647146,24
2017,8,216,8,120.09654963904248,0.5,12.725000000000001,11955,9750.470812487625,0.3951228650909787,24
2017,8,216,9,155.18113961007202,0.6,12.74,12205,9746.667720007916,0.3949739361647146,24
2017,8,216,10,156.56105645325573,1.2,12.75,11915,9744.133630338307,0.39487471854646733,24
2017,8,216,11,189.0581230854315,1.6,12.76,11990,9741.600584255297,0.39477555555492666,24
2017,8,216,12,188.79945525730574,2.3,12.795,12094.999999999998,9732.743132968048,0.3944289147830486,24
2017,8,216,13,365.4448268787206,2.4,12.89,12180,9708.765692243374,0.39349139237083286,24
2017,8,216,14,336.47513349139973,1.4,12.95,12245.000000000002,9693.670232873606,0.39290179302751244,24
2017,8,216,15,915.919092705858,2.1,13.03,12450,9673.600737955167,0.3921186808168879,24
2017,8,216,16,757.3092749220588,1.5,13.094999999999999,12460,9657.342718700855,0.39148493299911225,24
2017,8,216,17,705.4465403762465,2.1,13.385,12415,9585.331948473642,0.3886848400592942,24
2017,8,216,18,689.3361526399357,3.7,13.370000000000001,12600.000000000002,9589.03573701367,0.3888285824035593,24
2017,8,216,19,365.8579044400924,1.9,13.355,12715,9592.741795509006,0.3889724430220212,24
2017,8,216,20,108.40991278024319,3.7,13.36,12719.999999999998,9591.506190345499,0.3889244763341394,24
2017,8,216,21,81.55293638503406,3.6,13.33,12815,9598.923609047853,0.3892124738510775,24
2017,8,216,22,35.225681175613246,3.9,13.305,12805,9605.111741758228,0.3894528340384017,24
2017,8,216,23,4.811612248467817,2.6,13.27,12790,9613.78576014887,0.3897898925986685,24
2017,8,216,24,0.04121003453736352,2.8,13.235,12680,9622.472204643887,0.39012759911469236,24
2017,8,217,1,0,2.7,13.195,12655.000000000002,9632.41481583866,0.3905143446444101,24
2017,8,217,2,0,2.8,13.165,12550,9639.882466846591,0.3908049616615583,24
2017,8,217,3,0,2.9,13.120000000000001,12500,9651.101163858284,0.3912417859010296,24
2017,8,217,4,0.24696342397927507,1.9,13.075,12445,9662.340570594672,0.39167969127850494,24
2017,8,217,5,3.9580551502780783,3.1,13.030000000000001,12360,9673.600737955167,0.3921186808168879,24
2017,8,217,6,17.9046529879748,1.5,12.98,12340,9686.136445995708,0.3926077222025141,24
2017,8,217,7,39.02376418583425,2,12.934999999999999,12360,9697.440609157335,0.3930490104824234,24
2017,8,217,8,53.84742340342792,0.6,12.934999999999999,12355,9697.440609157335,0.3930490104824234,24
2017,8,217,9,96.34355362083838,1.4,12.95,12420,9693.670232873606,0.39290179302751244,24
2017,8,217,10,112.21580500994459,0.9,12.96,12510,9691.157939096278,0.3928037155085242,24
2017,8,217,11,128.7676209537903,1,12.96,12620.000000000002,9691.157939096278,0.3928037155085242,24
2017,8,217,12,130.18665854521842,0.6,12.96,12690,9691.157939096278,0.3928037155085242,24
2017,8,217,13,151.57154430488654,0.1,12.955,12710,9692.413956990642,0.39285274752570765,24
2017,8,217,14,337.55521381218716,2.6,12.985,12760,9684.881716987133,0.39255875754582853,24
2017,8,217,15,458.6745186345497,3.4,13.115,12774.999999999998,9652.348963196833,0.39129038860932114,24
2017,8,217,16,594.4307480651431,1.6,13.18,12815.000000000002,9636.147494560759,0.39065959331312267,24
2017,8,217,17,549.8881207132068,1.2,13.26,12879.999999999998,9616.26633242742,0.389886313995071,24
2017,8,217,18,231.4164833874808,3.9,13.32,12840,9601.398103349638,0.3893085783743239,24
2017,8,217,19,194.74832374116696,3.3,13.35,12899.999999999998,9593.977653095584,0.38902042286375393,24
2017,8,217,20,52.99125602846961,3,13.335,12895,9597.686741081105,0.38916444135299655,24
2017,8,217,21,21.84196833329268,4.6,13.3,12815,9606.350127358059,0.38950094564395626,24
2017,8,217,22,15.490889220480682,1.6,13.27,12780.000000000002,9613.78576014887,0.3897898925986685,24
2017,8,217,23,2.6419864399715944,1.3,13.254999999999999,12680,9617.506999130135,0.3899345445389257,24
2017,8,217,24,0,2.3,13.22,12535,9626.198776354257,0.3902725291821461,24
2017,8,218,1,0,2.8,13.195,12435,9632.41481583866,0.3905143446444101,24
2017,8,218,2,0,2.2,13.165,12370.000000000002,9639.882466846591,0.3908049616615583,24
2017,8,218,3,0,1.3,13.14,12254.999999999998,9646.11252256191,0.3910475085002123,24
2017,8,218,4,0.040686095557887575,2,13.120000000000001,12235,9651.101163858284,0.3912417859010296,24
2017,8,218,5,1.6152232325318552,2.4,13.1,12205,9656.09389596293,0.3914362768598816,24
2017,8,218,6,11.616667117045836,2.6,13.1,12160,9656.09389596293,0.3914362768598816,24
2017,8,218,7,22.40265697746954,1.9,13.075,12135,9662.340570594672,0.39167969127850494,24
2017,8,218,8,45.87519470783104,3.6,13.065000000000001,12175,9664.841034085157,0.391777150709776,24
2017,8,218,9,68.50374965970346,2.9,13.045,12180,9669.845038950807,0.3919722303215602,24
2017,8,218,10,92.49873142159538,2.1,13.055,12285,9667.34252335057,0.3918746637130495,24
2017,8,218,11,165.31162596896112,1.6,13.08,12410,9661.090723339945,0.39163098164198884,24
2017,8,218,12,251.49529406133894,2.2,13.09,12445,9658.591797463154,0.3915336025064417,24
2017,8,218,13,356.48908011638616,2.2,13.145,12665,9644.866000903898,0.3909989724873956,24
2017,8,218,14,390.39006367041725,1.7,13.175,12890,9637.392230389565,0.39070803612601446,24
2017,8,218,15,442.63993217726136,1.5,13.215,13195,9627.441475402795,0.39032086572862273,24
2017,8,218,16,324.11623353952876,2.3,13.25,13100.000000000002,9618.747919633932,0.3899827883187002,24
2017,8,218,17,278.3116585452899,1.3,13.29,13175,9608.827658166105,0.3895972084559807,24
2017,8,218,18,250.39485917129318,3.8,13.335,13010,9597.686741081105,0.38916444135299655,24
2017,8,218,19,49.887207601584414,2.6,13.355,13045,9592.741795509006,0.3889724430220212,24
2017,8,218,20,39.61653710435764,4.6,13.34,12905.000000000002,9596.450125813091,0.38911642202514657,24
2017,8,218,21,38.836175215979395,2.6,13.33,12629.999999999998,9598.923609047853,0.3892124738510775,24
2017,8,218,22,10.741660013740317,3,13.29,12329.999999999998,9608.827658166105,0.3895972084559807,24
2017,8,218,23,0.8478109263507296,2.3,13.24,12235,9621.230522321606,0.3900793156024675,24
2017,8,218,24,0,2.2,13.205,12195,9629.927636633782,0.39041757863229304,24
